Date;Deposit_rub;Deposit_currency;Inflation
01.01.2014;14000569,00;2956962,00;0,34
01.02.2014;13433121,00;3256299,00;0,59
01.03.2014;13510318,00;3397706,00;0,99
01.04.2014;13206977,00;3356873,00;0,88
01.05.2014;13507416,00;3340055,00;0,94
01.06.2014;13516012,00;3240475,00;0,64
01.07.2014;13699248,00;3183972,00;0,43
01.08.2014;13795655,00;3316120,00;0,67
01.09.2014;13928903,00;3342278,00;0,94
01.10.2014;13876276,00;3421262,00;0,84
01.11.2014;13829068,00;3856315,00;1,15
01.12.2014;13784044,00;4303032,00;2,32
01.01.2015;13706572,00;4846110,00;3,54
01.02.2015;13519300,00;5809403,00;2,12
01.03.2015;13888476,00;5188855,00;1,20
01.04.2015;14075094,00;5017779,00;0,49
01.05.2015;14509159,00;4623660,00;0,39
01.06.2015;14577986,00;4805184,00;0,23
01.07.2015;14809844,00;5082456,00;0,42
01.08.2015;14994893,00;5407688,00;0,84
01.09.2015;15001997,00;6119683,00;0,89
01.10.2015;15077166,00;6137747,00;0,80
01.11.2015;15197829,00;5994987,00;0,67
01.12.2015;15363666,00;6127522,00;0,53
01.01.2016;16398222,00;6820855,00;0,67
01.02.2016;15943431,00;6858098,00;0,52
01.03.2016;16212728,00;6757778,00;0,42
01.04.2016;16360699,00;6158177,00;0,44
01.05.2016;16740458,00;5933318,00;0,42
01.06.2016;16871587,00;6053113,00;0,38
01.07.2016;17132178,00;5930539,00;0,44
01.08.2016;17230767,00;6222421,00;0,50
01.09.2016;17322935,00;6052137,00;0,47
01.10.2016;17343207,00;5975080,00;0,47
01.11.2016;17415244,00;5958836,00;0,32
01.12.2016;17587567,00;6086685,00;0,15
01.01.2017;18476652,00;5723670,00;0,36
01.02.2017;18322102,00;5693084,00;0,12
01.03.2017;18581633,00;5493957,00;0,10
01.04.2017;18649233,00;5318399,00;0,32
01.05.2017;18811671,00;5461749,00;0,39
01.06.2017;18910388,00;5366160,00;0,61
01.07.2017;19287112,00;5610028,00;-0,07
01.08.2017;19263079,00;5598256,00;-0,12
01.09.2017;19284958,00;5513407,00;0,14
01.10.2017;19350146,00;5411897,00;0,23
01.11.2017;19408164,00;5351537,00;0,11
01.12.2017;19629278,00;5367652,00;0,17
01.01.2018;20642614,00;5344793,00;0,11
01.02.2018;20189510,00;5282237,00;0,11
01.03.2018;20570029,00;5195477,00;0,26
01.04.2018;20781663,00;5273521,00;0,36
01.05.2018;21231829,00;5511881,00;0,39
01.06.2018;21232068,00;5471172,00;0,48
01.07.2018;21506008,00;5485722,00;0,13
01.08.2018;21526890,00;5538207,00;0,47
01.09.2018;21438977,00;5930409,00;0,45
01.10.2018;21260938,00;5673487,00;0,38
01.11.2018;21419912,00;5654437,00;0,38
01.12.2018;21368088,00;5788062,00;0,57
01.01.2019;22351596,96;6108632,14;0,81
01.02.2019;21766322,30;5978116,42;0,33
01.03.2019;22107464,40;6060861,90;0,29
01.04.2019;22156683,10;6058786,88;0,27
01.05.2019;22724468,55;6085835,55;0,35
01.06.2019;22656083,97;6149566,01;0,05
01.07.2019;22924923,15;6057610,62;0,05
01.08.2019;22932694,62;6121358,56;0,21
01.09.2019;23116356,59;6346478,43;0,15
01.10.2019;23151674,04;6199460,47;0,17
01.11.2019;23251358,20;6131580,97;0,17
01.12.2019;23494973,87;6102453,95;0,08
01.01.2020;24572711,27;5976302,86;0,22
01.02.2020;24113713,91;6059843,48;0,20
01.03.2020;24502726,76;6318086,79;0,53
01.04.2020;24522599,59;6943104,11;0,80
01.05.2020;24977641,89;6502644,84;0,27
01.06.2020;24885503,56;6294456,13;0,23
01.07.2020;25428305,15;6264711,46;0,18
01.08.2020;25534027,52;6573805,47;0,40
01.09.2020;25557608,90;6657799,00;0,25
01.10.2020;25699001,52;7006929,19;0,48
01.11.2020;25613765,36;6942517,90;0,60
01.12.2020;25724520,98;6744447,90;0,54
