Date;USDRUB
01.01.2014;32,66
10.01.2014;33,15
11.01.2014;33,21
14.01.2014;33,12
15.01.2014;33,24
16.01.2014;33,36
17.01.2014;33,4
18.01.2014;33,43
21.01.2014;33,64
22.01.2014;33,82
23.01.2014;33,87
24.01.2014;34,03
25.01.2014;34,26
28.01.2014;34,71
29.01.2014;34,63
30.01.2014;34,56
31.01.2014;35,24
01.02.2014;35,18
04.02.2014;35,23
05.02.2014;35,45
06.02.2014;34,96
07.02.2014;34,73
08.02.2014;34,6
11.02.2014;34,76
12.02.2014;34,8
13.02.2014;34,76
14.02.2014;34,86
15.02.2014;35,26
18.02.2014;35,1
19.02.2014;35,24
20.02.2014;35,59
21.02.2014;35,77
22.02.2014;35,68
25.02.2014;35,51
26.02.2014;35,57
27.02.2014;35,79
28.02.2014;36,05
01.03.2014;36,18
04.03.2014;36,38
05.03.2014;36,32
06.03.2014;36,08
07.03.2014;36,13
08.03.2014;36,26
12.03.2014;36,4
13.03.2014;36,49
14.03.2014;36,46
15.03.2014;36,64
18.03.2014;36,65
19.03.2014;36,45
20.03.2014;36,21
21.03.2014;36,11
22.03.2014;36,4
25.03.2014;36,17
26.03.2014;35,93
27.03.2014;35,45
28.03.2014;35,58
29.03.2014;35,69
01.04.2014;35,61
02.04.2014;35,02
03.04.2014;35,25
04.04.2014;35,52
05.04.2014;35,5
08.04.2014;35,47
09.04.2014;35,55
10.04.2014;35,75
11.04.2014;35,56
12.04.2014;35,62
15.04.2014;35,99
16.04.2014;35,96
17.04.2014;36,08
18.04.2014;35,93
19.04.2014;35,54
22.04.2014;35,67
23.04.2014;35,68
24.04.2014;35,66
25.04.2014;35,68
26.04.2014;35,93
29.04.2014;36,02
30.04.2014;35,7
01.05.2014;35,72
06.05.2014;35,84
07.05.2014;35,66
08.05.2014;35,5
09.05.2014;35,03
13.05.2014;35,21
14.05.2014;34,88
15.05.2014;34,71
16.05.2014;34,7
17.05.2014;34,78
20.05.2014;34,74
21.05.2014;34,6
22.05.2014;34,51
23.05.2014;34,28
24.05.2014;34,31
27.05.2014;34,08
28.05.2014;34,26
29.05.2014;34,49
30.05.2014;34,65
31.05.2014;34,74
03.06.2014;34,89
04.06.2014;35,01
05.06.2014;35,14
06.06.2014;34,9
07.06.2014;34,66
10.06.2014;34,33
11.06.2014;34,37
12.06.2014;34,32
17.06.2014;34,57
18.06.2014;34,81
19.06.2014;34,82
20.06.2014;34,3
21.06.2014;34,42
24.06.2014;34,28
25.06.2014;33,98
26.06.2014;33,91
27.06.2014;33,75
28.06.2014;33,63
01.07.2014;33,84
02.07.2014;34,23
03.07.2014;34,25
04.07.2014;34,19
05.07.2014;34,32
08.07.2014;34,57
09.07.2014;34,43
10.07.2014;34,08
11.07.2014;33,84
12.07.2014;34,06
15.07.2014;34,31
16.07.2014;34,37
17.07.2014;34,39
18.07.2014;34,8
19.07.2014;35,16
22.07.2014;35,09
23.07.2014;35,04
24.07.2014;34,81
25.07.2014;35,08
26.07.2014;35,05
29.07.2014;35,35
30.07.2014;35,63
31.07.2014;35,73
01.08.2014;35,44
02.08.2014;35,73
05.08.2014;35,66
06.08.2014;35,8
07.08.2014;36,11
08.08.2014;36,25
09.08.2014;36,45
12.08.2014;36,05
13.08.2014;36,09
14.08.2014;36,22
15.08.2014;36,04
16.08.2014;36
19.08.2014;36,03
20.08.2014;36,11
21.08.2014;36,22
22.08.2014;36,33
23.08.2014;36
26.08.2014;36,12
27.08.2014;36,14
28.08.2014;36,14
29.08.2014;36,31
30.08.2014;36,93
02.09.2014;37,29
03.09.2014;37,35
04.09.2014;37,32
05.09.2014;36,8
06.09.2014;36,92
09.09.2014;37,09
10.09.2014;37,03
11.09.2014;37,17
12.09.2014;37,38
13.09.2014;37,65
16.09.2014;37,99
17.09.2014;38,71
18.09.2014;38,37
19.09.2014;38,42
20.09.2014;38,41
23.09.2014;38,58
24.09.2014;38,67
25.09.2014;38,38
26.09.2014;38,3
27.09.2014;38,72
30.09.2014;39,39
01.10.2014;39,38
02.10.2014;39,66
03.10.2014;39,55
04.10.2014;39,7
07.10.2014;39,98
08.10.2014;39,74
09.10.2014;39,98
10.10.2014;39,98
11.10.2014;40,21
14.10.2014;40,33
15.10.2014;40,53
16.10.2014;40,94
17.10.2014;40,75
18.10.2014;41,05
21.10.2014;40,88
22.10.2014;41,05
23.10.2014;40,97
24.10.2014;41,5
25.10.2014;41,81
28.10.2014;41,95
29.10.2014;42,39
30.10.2014;42,65
31.10.2014;43,39
01.11.2014;41,96
06.11.2014;44,4
07.11.2014;45,19
08.11.2014;47,88
11.11.2014;45,89
12.11.2014;45,95
13.11.2014;46,34
14.11.2014;46,12
15.11.2014;47,39
18.11.2014;47,33
19.11.2014;46,98
20.11.2014;47,03
21.11.2014;46,7
22.11.2014;45,79
25.11.2014;44,79
26.11.2014;44,98
27.11.2014;46,42
28.11.2014;47,66
29.11.2014;49,32
02.12.2014;51,81
03.12.2014;50,77
04.12.2014;54,38
05.12.2014;52,69
06.12.2014;53,11
09.12.2014;53,31
10.12.2014;54,21
11.12.2014;54,28
12.12.2014;54,79
13.12.2014;56,89
16.12.2014;58,35
17.12.2014;61,15
18.12.2014;67,79
19.12.2014;59,6
20.12.2014;60,68
23.12.2014;56,49
24.12.2014;54,57
25.12.2014;54,49
26.12.2014;52,62
27.12.2014;52,03
30.12.2014;56,68
31.12.2014;56,26
01.01.2015;56,24
13.01.2015;62,74
14.01.2015;64,84
15.01.2015;66,1
16.01.2015;64,83
17.01.2015;65,17
20.01.2015;64,97
21.01.2015;64,99
22.01.2015;65,56
23.01.2015;65,4
24.01.2015;63,39
27.01.2015;65,59
28.01.2015;67,82
29.01.2015;67,15
30.01.2015;68,73
31.01.2015;68,93
03.02.2015;69,66
04.02.2015;67,77
05.02.2015;65,45
06.02.2015;68,61
07.02.2015;66,04
10.02.2015;65,78
11.02.2015;65,45
12.02.2015;66,06
13.02.2015;66,1
14.02.2015;65,09
17.02.2015;62,66
18.02.2015;62,84
19.02.2015;62,4
20.02.2015;62,13
21.02.2015;61,72
25.02.2015;63,51
26.02.2015;62,59
27.02.2015;60,71
28.02.2015;61,27
03.03.2015;62,22
04.03.2015;62,36
05.03.2015;61,87
06.03.2015;61,85
07.03.2015;59,99
11.03.2015;60,66
12.03.2015;62,68
13.03.2015;60,96
14.03.2015;61,32
17.03.2015;62,15
18.03.2015;61,75
19.03.2015;61,35
20.03.2015;59,83
21.03.2015;60,03
24.03.2015;59,45
25.03.2015;58,77
26.03.2015;57,39
27.03.2015;56,43
28.03.2015;57,73
31.03.2015;58,46
01.04.2015;57,65
02.04.2015;58,35
03.04.2015;56,99
04.04.2015;56,75
07.04.2015;56,52
08.04.2015;55,33
09.04.2015;54,03
10.04.2015;52,54
11.04.2015;51,07
14.04.2015;52,42
15.04.2015;51,97
16.04.2015;50,5
17.04.2015;49,67
18.04.2015;50,53
21.04.2015;51,52
22.04.2015;53,97
23.04.2015;53,66
24.04.2015;51,6
25.04.2015;50,25
28.04.2015;51,47
29.04.2015;52,3
30.04.2015;51,7
01.05.2015;51,14
06.05.2015;51,76
07.05.2015;49,98
08.05.2015;50,36
09.05.2015;50,75
13.05.2015;50,91
14.05.2015;49,54
15.05.2015;50,08
16.05.2015;50,01
19.05.2015;49,22
20.05.2015;49,18
21.05.2015;49,79
22.05.2015;49,92
23.05.2015;49,79
26.05.2015;49,86
27.05.2015;50,32
28.05.2015;51,02
29.05.2015;52,29
30.05.2015;52,97
02.06.2015;52,82
03.06.2015;53,44
04.06.2015;53,06
05.06.2015;54,99
06.06.2015;56,25
09.06.2015;56,04
10.06.2015;55,91
11.06.2015;54,82
12.06.2015;54,53
16.06.2015;55,27
17.06.2015;54,04
18.06.2015;53,9
19.06.2015;53,33
20.06.2015;53,8
23.06.2015;53,56
24.06.2015;54,21
25.06.2015;54,07
26.06.2015;54,6
27.06.2015;54,81
30.06.2015;55,52
01.07.2015;55,84
02.07.2015;55,48
03.07.2015;55,66
04.07.2015;55,6
07.07.2015;56,41
08.07.2015;57,22
09.07.2015;57,22
10.07.2015;56,98
11.07.2015;56,67
14.07.2015;56,61
15.07.2015;56,98
16.07.2015;56,66
17.07.2015;56,95
18.07.2015;56,84
21.07.2015;56,83
22.07.2015;57
23.07.2015;57,02
24.07.2015;57,36
25.07.2015;58,04
28.07.2015;58,78
29.07.2015;60,22
30.07.2015;59,77
31.07.2015;58,99
01.08.2015;60,35
04.08.2015;62,47
05.08.2015;62,92
06.08.2015;62,72
07.08.2015;63,86
08.08.2015;63,84
11.08.2015;64,5
12.08.2015;63,21
13.08.2015;65,02
14.08.2015;64
15.08.2015;64,94
18.08.2015;65,5
19.08.2015;65,83
20.08.2015;65,72
21.08.2015;66,96
22.08.2015;68,12
25.08.2015;70,75
26.08.2015;69,95
27.08.2015;69,31
28.08.2015;67,45
29.08.2015;66,48
01.09.2015;66,72
02.09.2015;65,35
03.09.2015;66,68
04.09.2015;67,01
05.09.2015;67,69
08.09.2015;68,49
09.09.2015;68,79
10.09.2015;67,62
11.09.2015;68,5
12.09.2015;68,01
15.09.2015;67,96
16.09.2015;67,16
17.09.2015;65,93
18.09.2015;65,36
19.09.2015;65,64
22.09.2015;66,15
