Model,Order,Seasonal_Order,RMSE,MAPE
ARIMA,"(2, 0, 2)",,2127115.398216883,7.356870101941887
ARIMA,"(2, 1, 2)",,662320.7918923909,2.239668871307994
SARIMA,"(1, 0, 1)","(12,)",1143758.9302046108,4.053463518922776
SARIMA,"(1, 0, 2)","(12,)",1261255.6441320735,4.469281355318037
SARIMA,"(1, 1, 1)","(12,)",902998.9669924262,3.2753826658437966
SARIMA,"(1, 1, 2)","(12,)",882147.8086958629,3.201526496650817
SARIMA,"(2, 0, 1)","(12,)",1217225.795580788,4.321692223851112
SARIMA,"(2, 0, 2)","(12,)",1310845.0577198677,4.647066022661899
SARIMA,"(2, 1, 1)","(12,)",868435.2451949897,3.1529825453816156
SARIMA,"(2, 1, 2)","(12,)",853603.3451881675,3.099502313856214
VAR,1,,575423.0170915803,2.0189097838707974
VAR,2,,398107.0293344649,1.3889496072311962
